Name,Url,Authority,Started On,Finished On,License Number
Microsoft Certified: Azure AI Fundamentals,https://learn.microsoft.com/en-us/users/kashifmuneer-1248/credentials/certification/azure-ai-fundamentals,Microsoft,Sep 2025,Nov 2025,97F008-0H3CE4
Artificial Intelligence and Machine Learning (NAVTTC),,NAVTTC - Prime Minister Youth Skill Development Program (ShellShift),Sep 2025,Nov 2025,
Generative AI Bootcamp Internship,,Xavor Corporation,Aug 2024,Aug 2024,
Artificial Intelligence and Machine Learning (ACM Fellowship),,ACM Fellowship Program 2024,Aug 2024,Aug 2024,
Introduction to Web Development with HTML CSS JavaScript,https://www.coursera.org/account/accomplishments/verify/,Coursera - IBM,Jun 2024,Jun 2024,
Introduction to Relational Databases (RDBMS),https://www.coursera.org/account/accomplishments/verify/,Coursera - IBM,Jan 2024,Jan 2024,
